ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2383
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2383
D0.1;;;;;;
R1;N/A;Cyprus;;;;N/A
R2;N/A;Ministry of Finance, Public Administration and Personnel Departmen;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;2;;;;N/A
R7;N/A;1.2 FTEs;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Richness of content.;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;630
D1.1;;;;;;270
1;yes;"The general policy is integrated into the national Open Data and PSI Re-Use Law.
URL: https://bit.ly/3Q0Vuzw 

The main highlights of the Policy are: 
a. All Public Sector Data is Open by default with the exception of data to which access is prohibited.
b. Public Sector Bodies annually update their data catalogue and publish their data online on the National Open Data Portal.
c. Implementation mechanism set up through the PSI law (Licencing Authority, Charging Authority, Review Body, Open Data Board, etc).
d. All data is made available under the Creative Commons Attribution Only and the Creative Commons Share-Alike Licences unless the Licensing Authority grants permission to Public Body use any other licence or impose additional rules.";;;;30
2;yes;"The National Strategy 2023-2027 is based on four main Pillars:

A. Providing the required legal framework that promotes and encourages the supply of high quality and PSI for Re-Use (free or marginal cost, simple licences, dispute mechanism, etc).
B. Providing the necessary infrastructure for the dissemination of PSI in the form of a National Open Data Portal that is modern and fit for purpose.
C. Maintaining, expanding and supporting (through the provision of training, etc) the already existing network of PSI Liaison Officers in PSBs.
D. Promoting PSI Re-Use in both Private and Public Sector, through joint events and facilitating constant dialogue between suppliers and users.

URL: https://bit.ly/3Iee1Gk";;;;30
3;yes;A new Strategy covering the period 2023-2027 has been published.;;;;10
4;not applicable;"response to reviewer
Due to the small size of the country and to the centralised government system the policy/strategy making process exists only at a national level. ";;Please justify why not applicable is a suitable answer. Eg small size of the country;;10
5;yes;"The action plan includes a total of 38 actions (with relevant timeframes) allocated to each of the following 4 main pillars (as outlined in Q2, above):

1) Providing a legal framework that promotes and encourages the use and re-use of Open Data
2) Providing the necessary infrastructure for the dissemination of Open Data.
3) Maintaining, expanding, and supporting the existing network of Open Data Liaison Officers.
4) Promoting Open Datareuse.

Furthermore, actions range from strengthening the open data governance and reviewing the national law, to improving the infrastructure (National Portal), to organising events to promote the re-use of open data in Cyprus and engage all actors (hackathons, open days, etc), to supporting and providing much needed training to PSBs to release their data.";;;;25
6a;yes;"Provision of support for publishing dynamic data and HVDs (Action Γ9 of the Analytical Action Plan)
Access to Consulting Services and Technical Support (internal and external) [Action B9 of the Analytical Action Plan]";;;;15
6b;yes;"Provision of support for publishing dynamic data and HVDs (Action Γ9 of the Analytical Action Plan)
Access to Consulting Services and Technical Support (internal and external) [Action B9 of the Analytical Action Plan]

response to reviewer

This is a duplicate answer on purpose, since the same incentives and support offered for publishing real-time and dynamic data through API (Actionς Γ9 and Β9) are also offered in the case of publishing geospatial data though APIs and webservices.";;This answer is a duplicate of the Q6a. Please make the link between geo-spatial data clear;;15
6c;yes;"The Strategy provides the opportunity to publish citizen generated data that was initially based on government open data to be published on the portal in the form of related content. (see Section ""Εμπλουτισμός Πύλης με Επιλεγμένα Δεδομένα Μη Κυβερνητικών Φορέων""(page 14) of the Open Data Strategy 2023-2027 URL: https://bit.ly/3Iee1Gk)
i.e.  Pothen Eshes citizen tranformed data that builds on a public datatset relating to the declaration of assets of politically exposed persons. link: https://bit.ly/3NZdnNe";;;;15
6d;yes;"Action Γ11 of the 2023-2027 Analytical Action Plan for the examination/adoption of ways to imporove the discoverability of data on the National Data Portal, especially for the cases of 'data categories of special interest' such as non-public sector data, HVDs, geospacial data, Inpire data, etc.
This resulted to the  latest update of the ""Technical Guidelines Document"", which defined specific data tags to be used for each special interest category.";;;;10
7;yes;"Action Γ6  of the Analytical Action Plan refers to the design and delivery of a training program for middle-management and top-management civil servants in collaboration with the Cyprus Academy of Public Administration. The particular program aims to promote Open Data to the high levels of the hierarchy and includes modules on:
a. Open Data and Government Policies
b. Public Sector Bodies' obligations under the Open Data law
c. Show cases of Re-Use 
d. Benefits and Opportunities of Open Data
e. Evidence based and data-driven policies

UPDATE 29/08
The trainning program described in the CY Open Data Strategy is a measure designed to raise middle and top manahement awareness about  how open data, if re-used by public institutions, can enhance decision making  and policy formulation. Modules c, d and e of the described training program are designed to do exactly this.";Please further specify if the national strategy/policy contains measures to support the re-use of open data by public insitutions. ;;;15
8;yes;"Action Δ.10 of the of the Analytical Action Plan refers to the support of measures that  
promote the concepts of smart cities, sustainable mobility, etc through open data.
Further the applications/re-use cases of open data are published on the National Portal and their developers are offered the opportunity to present their work in events organised by the Open Data Team and through articles published on the portal.";;;;15
9a;yes;"National Open Data and PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue

URL:https://bit.ly/3Q0Vuzw 

UPDATE 29/08/23
The preparation and maintenance of data inventories by public bodies is obligatory by Law 143(I)/2021 for Open Data and PSI Re-Use.

More specifically, according to Article 16 of the above mentioned Law, public bodies must maintain data catalogues that lists : a) data available for publication as open data through data.gov.cy  b) data for which access is permitted according to the applicable law regulating access to information and which are
available for further use but not available online.  c)  data for which the public sector bodies, exceptionally, impose conditions for further use, through special permission or through enforcement of fees in accordance with the provisions of articles 13 to 15;";Please further clarify. ;;;15
9b;yes;"National Open Data an PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue annually.
Please see attachment ""Policy Q9b - Data Publication Plan - PAPD""";;;;10
10a;Yes;N/A;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
10b;yes, other measures;"Not in a regular/planned way.
Mainly by engaging re-users in Open Data related events/conferences and nformal meetings with main re-users, etc
";;;;5
10c;yes;"Adoption of HVD tags through the Technical Guidelines document as an interim measure until the adoption of the new DCAT-AP
URL: https://www.data.gov.cy/technical-guidelines";;;;15
11a;yes;N/A;;;;15
11a.1;Yes;"Action Δ.10 of the of the Analytical Action Plan forsee the support of measures that  
promote the concepts of smart cities, sustainable mobility and green development";;;0;
11a.2;Yes;One of the CY Strategy objectives is the release of public data in order to enable the development of innovative digital services and applications and to strengthen the digital economy.;;;0;
11a.3;Yes;One of the CY Strategy objectives is the creation of socioeconomic value and the increase of economic activity;;;0;
11a.4;No;;;;0;
11a.5;No;;;;0;
11a.6;Yes;One of 2022 objectives was to promote Digitla Democracy through open data.;;;0;
11b;Yes;The focus during the last year was digital democracy, Within this context the Open Data Team supported initiatives such as the Digital Democracy Forum and the Digital Democracy Hackathon.;;;;N/A
D1.2;;;;;;190
12;yes;"Open Data Liaison Officers and Private/Academic Sector Actors are engaged through the Open Data Team who ensures that their views are reflected in the Open Data Action Plan proposals to the Minister of Finance (please see organograms in strategy document).
The 2021 Open Data and Open Data and PSI Re-use Law aims, among others, to further strengthen the engagement of various open data stakeholders through the new Open Data Governance Board, where the main stakeholders groups will be represented.
The new Cyprus Open Data Law (pending before the Parliament for approval) introduces a national Open Data Governance Board where all stakeholders will be represented (government bodies, re-users organisations, universities, private sector companies, civil society organisations).";;;;30
13;top-down;Cyprus being a small country with limited resources at regional level has been employing so far a top-down approach on open data governance issues. However, from 2019 there is push for moving to a hybrid(ish) governance model with the introduction of a dedicated Open Data Governance Board where all main stakeholders are represented.The new legislation (published on November 2021) introduces the new national Open Data Governance Board.;;;;N/A
14;yes, all initiatives;Besides the centrally organised events, organised and facilitated by the Open Data Team, there are a number of Open Data Initiatives (in the form of events / hackathons, etc.) that are undertaken by semi-governmental organisations, municipalities or even private initiatives. In those cases the facilitation of those initiatives is undertaken by the organiser and the Open Data Team supports (either by promoting / sponsoring the event or by making available speakers/mentors etc).;;;;20
15;not applicable;Due to the small size of the country and to the centralised government system, local and regional public bodies in the majority of times co-organise events with the Open Data Teams. For examples events that relate to GIS data are co-organised with the Department of Lands and Surveys while initiatives that relate to smart cities are co-organised with municipalities.;;;;20
16;yes;"The operating model is presented in page 19 of Cyprus Open Data Strategy Document 2023-2027

URL: https://bit.ly/3Iee1Gk";;;;20
17a;yes;"See page 9 of the Cyprus Open Data Strategy Document 2023-2027

URL: https://bit.ly/3Iee1Gk";;;;20
17b;yes;Yes, on a daily basis. The people of the technical team maintaining the portal are also members of the Open Data Team.;;;;20
18;yes;"Who they are:
i. Existing PSBs employees,
ii.  IT literate (not specialists),
iii. Assigned by PSBs (can be the data officers or any other employee),
iv. Trained by PAPD on Open Data and PSI re-use issues (legislation, licenses, charges, formats, etc),
v.  Given access to upload and maintain datasets on www.data.gov.cy,
vi. Form a network of Open Data and PSI contact points across government.

In Cyprus they are called Open Data Liaison Officers and their duties include:
a. Support and advise PSBs on Open Dat and PSI issues (legislation, licensing, formats, etc),
b. Identify, collect and upload PSBs’ new datasets to www.data.gov.cy ,
c. Responsible for updating  PSBs datasets,
d. Handle data requests,
e. Promote Open Data culture in their organization.";;;;20
19;yes;"Even though there are no specialised workshops / events organised solely for exchanging views on open data issues between PSBs, this is achieved at national level through a number of workshops / events organised by the Open Data Team. These include:

- Open Data Days for PSBs - 
URL: i.e. https://t.ly/cAd4
- PSBs Training Workshops give the opportunity for networking and exchange of views and ideas - 
URL:  https://t.ly/kdhr
GIS Open Days: annual event/workshop/meet up for PSBs and other Stakeholders 
URL: https://bit.ly/3zikDzF, https://bit.ly/3yAkK6Y
Online Events: i.e. https://bit.ly/3mnrLDk


UPDATE 29/08/2023
URLs provided above";Please provide evidence of these workshops (e.g., URLs). ;;;20
20;yes;"Joint Sector Specific Focus Groups (geodata, government vehicle fleet management data, public transport, etc).
URLs:
https://t.ly/kdhr
https://t.ly/8pii
https://t.ly/lYjh
https://t.ly/RS85
Plus, less formal communication and exchange of views with Excellence/Innovation Centres, Universities, hack community through social media or informal meet-ups.";;;;20
D1.3;;;;;;170
21;yes;"This basic priciples of the data publications plans are outlined in article 16 of the new Open Data and PSI Law:  https://bit.ly/3Q0Vuzw 
Each Public Sector Body is required by law to develop and gradually implement its Data Publication Plan. An example of such data publication plan is attached: ""Policy Q22 - Data Publication Plan - PAPD""";;;;20
22a;yes;"It is a simple yet effective from our experience methodology, that is initiated when a PSB is invited and agrees to publish its data on the national portal. The methodology includes the following steps:
a) Assignment of Open Data Liaison Officer by PSB
b) Open Data Liaison Officer undergoes the offered training programme (session open for PSB management on a voluntary basis)
c) PSB finalises its data publication plan with the assistance of a member of the Open Data Team (template, guidelines and support provided by the Open Data Team) 
d) PSB gradually publishes data on the National Open Data Portal according to its data publication plan
e) Open Data Team members monitor the progress by comparing each PSBs data publication plan against the datasets published on its National open data portal account and “pokes” the PSB if necessary.
f) PSBs are required to update and submit their data publication plans at least every 2 years (majority do it on an annual basis) – The Open Data Team reiterates the process described in (e)";;;;15
22b;satisfactory;The progress of implementation of the action plan for data publication is being monitored through annual reports. Example Report:  bit.ly/3qMSOxl;;;;N/A
23a;yes;"Even though in Cyprus charging is very rare, according to the Nationla Open Data Legislation, Public Sector Bodies that wish to charge must take prior approval from the Charging Body (article 13.4 of new Open Data Law), a Technical Committee resposible for overviewing charging issues and approving any charges.
In the cases where charges existed prior to 2015, if a PSB charges above marginal cost, then the Open DataTeam may take the issue to the Charging Body which can issue a decision for the removal of charges.";;;;15
23b;all datasets;N/A;;;;15
23c;increased, or already all datasets;N/A;;;;10
24a;N/A;"(a) Available Resources to the Open Data Team
(b) Lack of management commitment in some data providers
(c) Technical Challenges in releasing data through APIs faced by small Public Sector Bodies";;;;N/A
24b;yes;"(a) Pushing for more funding through the budgetaty process
(b)Offer short training for Management Team members
(c) Offering technical support to smaller PSBs that wish to publish data thriugh APIs/HVDs";;;;10
25a;yes;"Public Sector Bodies (PSBs) that wish to publish their data on the National Open Data Portal undergo our OnBoarding Process which consists of the following steps: 
a) Assignment of Open Data Liaison Officer by PSB
b) Open Data Liaison Officer undergoes the offered training programme (session open for PSB management on a voluntary basis)
c) PSB finalises its data publication plan with the assistance of a member of the Open Data Team (template, guidelines and support provided by the Open Data Team) 
d) PSB gradually publishes data on the National Open Data Portal according to its data publication plan
e) Open Data Team members monitor the progress by comparing each PSBs data publication plan against the datasets published on its National open data portal account and “pokes” the PSB if necessary.
f) PSBs are required to update and submit their data publication plans at least every 2 years (majority do it on an annual basis) – The Open Data Team reiterates the process described in (e)";;;;15
25b;yes;"i. Provision of Training and Technical Guidelines.
ii. Technical support on how to release these data. In some cases the Open Data Team in collaboration with Universities developed APIs for PSBs to release their data.
iii. Joint Thematic Focus Groups (sector specific workshops facilitated by the Open Data Team that bring together PSBs and re-users). In a number of cases these groups prepared Technical Specifications for APIs and web-services.
iv. Collaboration with KIOS Centre of Innovation for testing APIs developed for PSBs (i.e. public transport web-service infrastructure).";;;;10
25c;yes;Yes this is coordinated by the Department of Lands and Surveys which manages the DLS Portal (national portal for geospatial data). Departmnets that hold geo-spatial data are encouraged to share this data through the DLS portal and are offered all the technical support, including hosting these data on the DLS infrastrusture.;;;;10
25d;yes;Private Organisations as from 2021 may publish their data on the National Portal (article 16.2 of new Open Data Law). In that case the process of doing so is the same as that of Public Organisations (described in question 25a);;;;10
26a;yes;"At the moment the programme is available only for Open Data Liaison Officers and is delivered by the Open Data Team in collaboration with the Open University of Cyprus. The programme includes modules on: 
a. Data Audits and selection of data for publication,
b. Preparing Data for Publication (Formats),
c. Licensing,
d. Data and Metadata Quality,
e. Publication Processes,
f. Releasing Data APIs.";;;;15
26b;yes;Participants in the Open Data Training Programmes offered by the Open Data Team, receive a formal certification, which can then be submitted to the Public Service Commission. The certificate can then be considered as part of the employees qualification for promotion purposes (within the public service).;;;;10
27a;yes, 6-9;"i. Digital Democracy Hackathon (April 2022) - URL: https://www.cyprusdemocracyforum.com/hackathon
ii.  KIOS GIS Event 2022 - Towards Living Maps (23 November 2022, Nicosia) - URL: https://bit.ly/42FheX0
iii. 7th Sustainable Mobility Conference (December 2022, Nicosia) - URL: https://bit.ly/3HUXB5E
iv. GIS Day 2022 - Services (data) and GIS systems in the Cyprus Public and Private Sectors - Eratosthenis Centre of Excellence event - 16 November 2022, Limassol URL: https://bit.ly/44KAWm8
v. Hackadtech Hackathon 2022 (November 2022, Limassol)  -URL: https://hackathon22.adtechholding.com/
vi. Data.Gov.Cy online Event,  (28 April 2022)- URL: https://bit.ly/3mnrLDk";;;;15
27b;a mix of the above;Public Bodies (PAPD, DLS, Cyta, ect) Univerities, Major Cities, Semi_Governmental Organisations, Reseach Centres, Business Accelerators/StartUp Incubators, Big Established Companies (ie. Consultancy Firms, Banks, Technology Companies, etc);;;;N/A
D2;;;;;;600
D2.1;;;;;;170
28;yes;"The definitions is outlined in the CY Open Data Strategy Document.
""The concept of ""re-use of public information"" refers to the right of persons or legal entities to obtain information from public bodies and (re)use it for commercial or non-commercial purposes""";;;;10
29;Yes, there is a strong focus;"This is mainly done through a number of activities such as:
(a) the funding of a National Open Data Impact Surveys
(b) monitoring KPIs such as traffic on data.gov.cy (analytics on number of views/downloads of datasets, etc).
(c) monitoring traffic data on their APIs, webservices generated by government departments (based on Service Provider).
(d) Co-organising events that showcase re-use cases of their data by other PSBs and / or others (e.g. universities). Some of such events take the form of conferences (i.e. https://sustainablemobility.cy/en/7th-sustainable-mobility-and-intelligent-transport-systems-conference/), Open Days (i.e. https://t.ly/iDzC) and events that showcase re-use cases of their data (i.e. https://t.ly/m2hf).
(e) information collected by other PSBs that re-use their data (i.e. statistics, geodata, etc).";;;;15
30;yes;"There is a combination of processes for estimate the level of re-use in Cyprus. These include:
a. WebAnalytics of Traffic on the national portal: URL: https://bit.ly/2TjEk7f
b. Catalogues of Apps that use data URL: https://www.data.gov.cy/application-showcases
c. Surveys: https://www.data.gov.cy/Studies-Publications_EL
d. Meet ups and events that engage the ecosystem of open data";;;;20
31;yes;"(i) The structured training programme offered to all PSI Liaison Officers includes a module dedicated to open data impact (creating tools to monitor/measure). The aim of this particular module is to create awareness of open data impact and how the presence of such impact can help the organisations to make the case for securing additional resources for making more data available.
URL: https://t.ly/OPgT
(ii) The Open Data Team encourages and support events aimed to present use cases of Government to Government (G2G) re-use. These events bring together PSBs as publishers and re-users together, something that creates awareness of the impact of re-use of a PSB's data by other PSBs. Examples of such events are: GIS Open Day ( https://bit.ly/3zikDzF ), GVFM System Open Days ( https://t.ly/wuB4 ).
(iii) Further, the National Open Data Portal has a dedicated section for Open Data Impact where PSBs can find some guidelines on how they can measure the level and impact of the re-use of their data.
URL: https://www.data.gov.cy/open_data_impact, https://www.data.gov.cy/Studies-Publications_EL";;;;20
32;yes;Monitor Statistics (downloads, apps created, use cases, etc);;;;15
33;yes;"The official definition of Open Data Impact in Cyprus is outlined in section ""Open Data Impact"" (page 16) of the Open Data Strategy 2023-2027 document.
URL: https://bit.ly/3Iee1Gk
Translation:  By ""open data impact"" we mean all those changes, improvements, opportunities, direct and indirect, which occur through the re-use of open data. This impact is not limited to a single area and can take many forms: economic, social, political, environmental, etc.";;;;20
34;yes;"The methodology includes a number of actions / mechanisms such as:
(i) Desktop Research: Carried desktop research in order to identify new re-use cases in the form of applications and websites developed with the re-use of open data. The identified re-use cases are then published with the consent of the developer on the National Open Data Portal, in the section “Showcases”.     
URL: https://www.data.gov.cy/application-showcases 
(ii) Open Data Portal Satisfaction Surveys: We have included a couple of questions on reasons of re-use in the 2018 Survey. We plan to incorporate additional questions in the next survey.
(iii) Monitoring the performance portal's indexes such as number of visitors, datasets' downloads, traffic through APIs and how these changed over time gives a proxy on the extend of re-use, especially in those areas where re-use does not take the form of applications.
(iv) Interaction and interviews of re-users of open data. 
(v) Commissioning Impact Studies at regular intervals in order to record visible and non-visible re-use cases and their impact. URL: https://www.data.gov.cy/Studies-Publications_EL";;;;30
35;yes;"(i) Annual desktop research that identifies new re-use cases that may have political, economic, social and environmental impact. The identified re-use cases are then published with the consent of the developer on the National Open Data Portal, in the section “Showcases”  
URL: http://data.gov.cy/node/3897?language=en

(ii) Monotoring Analytics on dataset downloads and number of Use-Cases through the Open Data Portal's dashboard. URL:  https://www.data.gov.cy/dashboard_EL

(ii) The latest commissioned Impact Study took place in 2021 URL: https://www.data.gov.cy/Studies-Publications_EL";;;;25
36;yes;"During the past years we have seen a trend for closer collaboration between the government and the academic/research sector to create impact through open data. There are a number of very successful projects, some of which are :
a. The National Open Data Portal itself is a product of collaboration between the Public Administration and Personnel Department of the Ministry of Finance and the Open University of Cyprus which hosts and provides technical support for the portal. URL: data.gov.cy 
b. The GNOSIS project which resulted to the developmen of the ""GNOSIS"" platform aims to create impact on road safety through the provision an integrated GIS system that that collects and store and presents the much needed data that enable better decision making by the road network authority. The GNOSIS platform utilises open data from the Lands and Surveys Department and the Department of Public Works. URL: https://bit.ly/3tAH13A";;;;15
D2.2;;;;;;110
37;yes;N/A;;;;40
37.1;Yes;The Open Data Team utilises and shares data from the portal Log System and Matomo Analytics with PSBs that wish to analyse the profile of their users and the usage of their datasets (visits / downloads) Similar work is carried out by several departments that maintain their dedicated portals, such as the Department of Lands and Surveys, the Department of Statistics, etc.;;;0;
37.2;Yes;The National Portal's dashboard offers inside about the most and least popular datasets of the national catalogue and other insides about portal traffic;;;0;
37.3;Yes;The Public Administration and Personnel Department conducts at regular intervals user satisfaction studies and Impact Studies in order to analyse the impact of data.;;;;
37.4;Yes;Several departments liaise with their re-users in order to understand their needs and how best to meet them. For example the Ministry of Transport meets regularly with re-users and researchers of their data and have formed partnerships with certain research centres. The Ministry also organises an annual conference on stainable mobility.Similar activities are carried out by the Met Department;;;0;
37.5;No;;;;0;
38;yes;N/A;;;;40
