ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2123
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2123
D0.1;;;;;;
R1;N/A;Finland;;;;N/A
R2;N/A;Ministry of Finance / Digital and Population Data Agency;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;2 (The portal team consists of two persons, neither of whom is fully engaged in open data tasks);;;;N/A
R7;N/A;1,1 (The portal team consists of two persons, neither of whom is fully engaged in open data tasks);;;;N/A
R8;200-400.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Easily accesible single information point with versatile content.;;;;N/A
R10;partially;Probably producing more content on our country.;;;;N/A
D1;;;;;;582
D1.1;;;;;;250
