ID;cross_year_id;response;decision;awarded_score;max_score;explanation
P20;P20;yes;confirm;20;20;"Yes, there are existing different formats for regular exchange:
- A core task of the competence Center Open Data (CCOD) - as part of the national open data team in the broader sense - is to promote regular exchange between all open data stakeholders (minimum three times a year).
- There is also be regular exchange among the open data coordinators (federal level)"
P21;P21;yes;complement;20;20;"2025:
There are a variety of exchange formats between administrative bodies at the federal, state, and local levels and data users.

Examples at the federal level:
- The Competence Center for Open Data (CCOD) organizes annual expert forums with federal authorities and experts from various user groups (data journalists, researchers, non-governmental organizations). It also offers the online Open Data Forum for cross-disciplinary exchange (see also answer to question 13).

- The Federal Research Institutes of the Federal Ministry of Food and Agriculture (BMEL) ensure internal exchange between the unit responsible for data management and the scientists at these research institutes. They also organize regular exchanges between the federal research institutes and administrative authorities with the Federal Ministry (via the Think Tank Digitalization and its working groups on data management, open data, and AI).

- There is an exchange of knowledge and experience with the National Research Data Infrastructure Germany (NFDI).

Example at the federal state level:
- The annual Berlin Open Data Day is a networking conference between public authorities and stakeholders from science, the public, and business, featuring lectures, best practice presentations, and discussions: https://citylab-berlin.org/de/events/berlin-open-data-day-2025/ 
2024:
Yes, in case of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture, they have the internal (within the public body) exchange between the unit responsible for data management service and the scientists in our research institutes. Furthermore, they organize regular exchange between the public body (federal research institutes and the administrative authority) from our area of responsibility and the highest authority (federal ministry). For this purpose, they have established the Think Tank Digitalization with working groups on data management, Open Data and AI. There are also other opportunities for exchange.

There is also an exchange of knowledge and experience at federal level with the National Research Data Infrastructure Germany (NFDI).

At federal level the Competence Center of Open Data (CCOD) conducts so called 'Fachforen' (expert forums), where experts from different user groups (e.g. data journalists, ngo's) are invited to share their experiences, point of views and demands with civil servants from all federal levels, e.g. on metadata quality or data structure

Some examples at regional level:
Berlin (state):
Berlin Open Data Day is the networking conference between the public bodies and the stakeholders from academia, citizens and businesses, where we have speeches from the mayor and best practice presentations for open data projects: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019  we do also have the ""Open Data Lunch"", where we give the saleholders from academia, citizens and business the opportunity to exchange with the public bodies:  https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/artikel.1257989.php#berlin 

Lower Saxony:
Only at project level: In the context of our project ""Bürgerinformationsportal Umwelt / UmweltNAVI Niedersachsen."" the Ministry of Environment of Lower Saxony cooperates e.g. with observations.org."
P22;P22;yes;complement;20;20;"2025:
All major government agencies are currently working on gradually publishing open data. While there is no central publication plan yet, data (at the federal level) is systematically collected internally via a data catalog (data atlas), from which open data-ready datasets can be identified.
2024:
2024:
BMEL:
From 2023: Yes, all of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture have established Data Policies for this purpose. See for example: https://www.thuenen.de/en/data-policy

BMJ:
Yes, the BMJ plans to expand the publication of data in the future:
- Once completed, the new Federal Legal Information Portal (""Rechtsinformationsportal des Bundes"") will make court decisions, laws, ordinances and administrative provisions of the Federal Government available as open data.
(https://www.bmj.de/DE/themen/digitales/digitaler_staat/rechtsinformationsportal/rechtsinformationsportal_node.html)
- In the future, federal laws and ordinances will also be promulgated in a machine-readable data standard on the Promulgation Platform (""Verkündungsplattform"").

Schleswig-Holstein:
- A funding guideline was issued to implement automatic and continuous delivery from municipal data sources to the open data portal. (Amtsblatt für Schleswig-Holstein, volume 21, 2024-05-21, page 825)
- The Schleswig-Holstein State Data Strategy contains a chapter on the publication of open data.  https://transparenz.schleswig-holstein.de/dataset/landesdatenstrategie 
- As part of the 4th German national action plan OGP open government data will be published as linked open data. https://www.open-government-deutschland.de/opengov-de/vierter-nationaler-aktionsplan-verabschiedet-2216298

Bavaria: 
- The new open data portal ""open.bydata"" was launched in 2023, the special feature ""open data presences"" allows data providers (e.g. cities) to have an individualized and free of charge ""mini portal"", like Augsburg.bydata.de 
- The new ""open bydata competence center"" has an extensive service portfolio with consulting and material for open data providers (https://oc.bydata.de)

Hamburg: 
Transparenzportal: https://transparenz.hamburg.de/
UrbanDataPlattform: https://www.urbandataplatform.hamburg/ 

Berlin (state):
""Kerndatensätze"" (Core datasets) should be published from the public body level. This is an action in our Open Data Strategy, and we do have workshops with the Open Data Coordinators, where we work a plan for publishing the data considered as high-value data set. ""Data Inventory"": We have implemented the measure to carry out data inventories in our open data strategy, so that every administration must carry out a data inventory with the aim of discovering and publishing Open Data relevant data

North Rhine-Westphalia: According to the regional E-Government Act  (E-Government-Gesetz NRW) all state authorities shall publish their data as open data via the regional open data-portal open.nrw. Local authorities can also provide this data. Moreover the regional open data regulation (Open Data Verordnung NRW) specifies how to provide the data. 
For geo-spatial data, in accordance to the EU INSPIRE regulation, a GEO portal.NRW was implemented: https://www.geoportal.nrw/?activetab=portal#

Baden-Württemberg: 
https://www.daten-bw.de/
The state government of Baden-Württemberg makes data of public interest centrally accessible online. Our goal is to make public administration data easier to find and use. We want to promo-te the use of open licenses and increase the availability of machine-readable raw data. This will ensure that data is made available in an innovative and responsible way in the future and can be combined and used by everyone. In the long term, the aim is to create an efficient, sustainable and interconnected data infrastructure for Baden-Württemberg.

Baden-Wurtemberg
The State Office for Geoinformation and Land Development (LGL) established the Open GeoData Portal https://opengeodata.lgl-bw.de on 6th June 2024. According to EU-Commission implementation regulation 2023/118 a list of specific high-value datasets and the arrangements for their publication and re-use have been determined. The public surveying sector of Baden-Württemberg identified geodata of cadastre, terrain, surface and landscape models, 3D building models, orthophotos (aerial photographs) and digital maps. These data are made available on the Open GeoData Portal according to PSI regulation. In addition, the presentation of geodata in the geodata viewer of the Geoportal Baden-Württemberg is permitted for commercial and non-commercial purposes. The terms of use of the geodata viewer: https://www.geoportal-bw.de/#/(sidenav:karten). 
2023:
At example:
Federal Ministry of Food and Agriculture:
Yes, all of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture have established Data Policies for this purpose.

Federal Ministry of Justice (BMJ)
Yes, the BMJ plans to expand the publication of data in the future:
- Once completed, the new Federal Legal Information Portal (""Rechtsinformationsportal des Bundes"") will make court decisions, laws, ordinances and administrative provisions of the Federal Government available as open data.
(https://www.bmj.de/DE/Ministerium/Transparenz/Rechtsinformationsportal/Rechtsinformationsportal_node.html)
- In the future, federal laws and ordinances will also be promulgated in a machine-readable data standard on the E-Promulgation Platform (""E-Verkündungsplattform"").

Examples at regional level:
Baden Württemberg:
Platform UDO, Inspire + Geo Data Services
https://udo.lubw.baden-wuerttemberg.de/public/index.xhtml;jsessionid=896323942F7ECDC73BD70ECBC48E618B
https://rips-metadaten.lubw.de/freitextsuche?rstart=0&currentSelectorPage=1&f=type:inspire.

The regional statistical database in Baden-Württemberg is currently being converted into a new system and is expected to be launched in 2024. Statistical data are then widely accessed by open data compliant (e.g. API interface).

Berlin (state):
""Kerndatensätze"" (Core datasets) should be published from the public body level. This is an action in our Open Data Strategy, and we do have workshops with the Open Data Coordinators, where we work a plan for publishing the data considered as high-value data set.

Thuringia (regional and local):
according to the Thuringian Transparency Law (Thüringer Transparenzgesetz (ThürTG)) a portal has been set up: https://verwaltung.thueringen.de/ttp. For geo-spatial data, in accordance to the EU INSPIRE regulation, a geo portal was implemented: https://www.geoportal-th.de/de-de/.
In addition, the city of Jena has recently released an open data portal: https://opendata.jena.de/."
P23;P23;yes;complement;20;20;"2025:
Every two years the Federal Government has to report the progress of open data implementation in Germany to the federal parliament (Bundestag). This includes a survey among the federal authorities on the state of implementation of open data.The open government national action plan comes with a tool to monitor the implementation of the plans obligations: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/4-nap . The open data strategy includes a regular monitoring process: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html.
2024:
2024:
Yes
- Every two years the Federal Government has to report the progress of open data implementation in Germany to the federal parliament (Bundestag). This includes a survey among the federal authorities on the state of implementation of open data.
- The open government national action plan comes with a tool to monitor the implementation of the plans obligations: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- The data strategy of the Federal Government is monitored quarterly
- The open data strategy includes a regular monitoring process: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html
2023:
Yes
- Every two years the Federal Government has to report the progress of open data implementation in Germany to the federal parliament (Bundestag). This includes a survey among the federal authorities on the state of implementation of open data.
- The open government national action plan comes with a tool to monitor the implementation of the plans obligations: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- The data strategy of the Federal Government is monitored quarterly
- The open data strategy includes a regular monitoring process: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html

In Rhineland-Palatinate:
The LTranspG provides in section 23 (1) that the state government is to examine the effects of the law with scientific support and report to the state parliament. The retrospective evaluation of the LTranspG was commissioned in December 2019 by the Institute for regulatory impact assessment and evaluation (InGFA) at the German Research Institute for public Administration. The final 203-page evaluation report was submitted on 5 March 2021. Link to the full evaluation report: https://dokumente.landtag.rlp.de/landtag/drucksachen/678-18.pdf"
P24;P24;yes;change;20;20;"The legally required Open Data Progress Report, submitted to the German Bundestag every two years, contains proposals for possible further development of the legal and strategic framework. Section 12a, Paragraph 11, Sentence 2 of the E-Government Act explicitly requires a separate evaluation for a specific expansion of the legal framework (independent administrative areas such as the Deutsche Rentenversicherung Bund (the Federal Pension Insurance), legal entitlement to open data).

The proposals outlined in the progress report are not yet part of a concrete political agenda (which is also due to the change of government since May 2025). The required evaluation of the legal entitlement and self-governing bodies as the Federal Pension Insurance has not yet begun (as of July 2025). But the evaluation is, at least from a financial perspective, included in the current federal budget preparation.The evaluation itself is expected to begin in autumn 2025. Furthermore, the Open Data Strategy 2025 will be evaluated in the next months."
P25;P25;yes;complement;20;20;"2025:
Section 12a of the E-Government Act (Open Data Act) generally provides for the publication of data as ""open data"" for the entire federal administration, unless legally specified exceptions apply (e.g., personal data, security-relevant data). Cost considerations therefore play no decisive role in this regulation.
2024:
In principle, the open data Act provides for the publication of data as ""open data"" for the hole federal administration, unless exceptions apply (e.g. personal data, security-related data). Cost considerations therefore do not play a decisive role in the provision."
P26-a;P26-a;n/a;confirm;0;0;"In no particular order:
- legal restrictions (e.g. data protection, copyright), that includes the interpretation of european and national laws
- lack of technical infrastructure
- lack of data governance

The following statements are also mentioned:
- Inventory the data infrastructures and data with all the corresponding challenges are handled (e.g. data protection) 
- lack of experts in the public service and insufficient financial resources
- making existing data bases with open data FAIR so that they can provide the data machine readable
- an overview of data holdings across Federal Government
- lack of competences with open data
From a regional perspective, these would be: 
- Lack of human resources
- lack of financial resources and
- lack of political prioritization "
P26-b;P26-b;yes;complement;0;0;"2025:
At federal level:
- The appointment of Open Data coordinators in all federal ministries. The merging of separate Open Data-related laws into one transparency law (Bundestransparenzgesetz) in the current legislative period
- The Competence Center of Open Data (CCOD) is adressing change management for open data, e.g. in guidelines for open-data-coordinations and in public presentations at conferences and federal agencies, e.g. https://www.zukunftskongress.info/de/node/4292

At regional level:
- State of Berlin: The ""AG Open Data"" has 21 members, each public body is obliged to send an Open Data coordinator. At this link everyone can see the contact person, who is responsible for supervising Open Data at the public body: https://www.berlin.de/moderne-verwaltung/e-government/open-data/ansprechpersonen/artikel.1258477.php 
2024:
In general: The appointment of Open Data coordinators in all federal ministries. The merging of separate Open Data-related laws into one transparency law (Bundestransparenzgesetz) in the current legislative period.

In the case of the Federal Ministry of Food and Agriculture:
For this purpose, we have established the Think Tank Digitalization with working groups on data management, Open Data and AI. There, we organize regular exchange between the public body (federal research institutes and the administrative authority) from our area of responsibility and the highest authority (federal ministry).

From Federal Ministry of Justice (BMJ) perspective:
- Exchange and networking within the Federal Government
- Establishment of a network on open data in the BMJ sector

The Competence Center of Open Data (CCOD) is adressing change management for open data, e.g. in guidelines for open-data-coordinations and in public presentations at conferences and federal agencies, e.g. https://www.zukunftskongress.info/de/node/4292

At regional level:
Berlin: The ""AG Open Data"" has 21 members, each public body is obliged to send an Open Data coordinator. At this link everyone can see the contact person, who is responsible for supervising Open Data at the public body: https://www.berlin.de/moderne-verwaltung/e-government/open-data/ansprechpersonen/artikel.1258477.php"
P27;P27;yes;confirm;20;20;There is an active knowledge management through manuals, guides and much more through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html
P28;P28;yes;complement;20;20;"2025:
Together with the Federal Academy for Public Administration (BAköV), the Competence Center Open Data (CCOD) is developing a so-called ""learning path"" for structured training. In addition, there is already active knowledge management through manuals, guides and e-learning-modules through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html
2024:
2024:
Together with the Federal Academy for Public Administration (BAköV), the Competence Center Open Data (CCOD) is developing a so-called ""learning path"" for structured training. In addition, there is already active knowledge management through manuals, guides and much more through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html
2023:
Yes, there are several programs in place that support professional development in open data and that are part of training plans

1) e.g. Federal Ministry of Food and Agriculture:
Yes, there are activities within our research institues, e.g. GeoNode at the Thünen Insitut (https://atlas.thuenen.de/about/), the geoportal of the JKI (http://geoportal.julius-kuehn.de/#/dashboard) or the Geoportal GDI-BMEL (https://gdi.bmel.de/) which is hosted and maintained by the BLE.

2) The German Academy of Public Administration offers course for working with data (https://www.bakoev.bund.de/DE/00_Home/home_node.html)

3) The CCOD is offering so called ""Fachforen"" (specialized forums) for civil servants, addressing specific issues regarding the work with open data, e.g. data quality and licensing of open data. Fachforen are open to civil servants from all administrational and federal levels.

4) In order to improve digital skills within the federal administration a ""digital academy"" has been set up to teach general skills, including open data. The portal has been launched in 2022 and offers training episodes, inter alia for open data, see: https://www.digitalakademie.bund.de/SharedDocs/03_Episoden/Lernreise_04/33_Open_Data.html

5) There are thematic open data trainings including the online course ""OpenGeoEdu"" that is supported by the mFund (https://learn.opengeoedu.de/opendata) (see also the videos inside to learn more about open data) .

6) Trainings are offered to civil servants in some places on the regional/local level, such as Berlin's ""Open Data Crash Course"" (Crash-Kurs Open Data) that is part of the Verwaltungsakademie Berlin's training plans: https://daten.berlin.de/interaktion/artikel/crashkurs-open-data
Schleswig Holstein offers also a proposed but voluntary curriculum for state employees."
P29;P29;yes, >9;complement;20;20;"2025:
There have been and continue to be numerous Open Data events in Germany. Here are some examples:

Open Data Day Munich 2024: https://veranstaltungen.muenchen.de/rit/veranstaltungen/open-data-day-muenchen-2024/
Open Data Day 2024 in NRW: https://open.nrw/open-data-day-2024 
Open Data Events Berlin (different events): https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/veranstaltungen-1257989.php
Open Data Event of the Bertelsmann Stiftung (different events): https://www.bertelsmann-stiftung.de/de/unsere-projekte/daten-fuer-die-gesellschaft/projektnachrichten/das-kommunale-open-data-netzwerktreffen?etcc_ctv=HiergehteszurAnmeldung&cHash=72966e36c877b52b54b118a6f7ebb281
Open Data Blog of the CCOD (different events): https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Meldungen/meldungen_node.html 

2024:
2024:
BMEL:
Yes, beyond what was reported last year, the institutes under responsibility of the Federal Ministry of Food and Agriculture participate for example in the LoveDataWeek (https://rdm4bs.tu-braunschweig.de/index.php/love-data-weel-2024); another important example is the FairAgro Community Summit (https://fairagro.net/fairagro-community-summit/), this event connects the community of agricultural data across users from public sector, research, civil society, and business. 

Schleswig-Holstein:
- Open Data Day Flensburg, 2024-03-02, Flensburg, https://opendataday-flensburg.de
- Open Data Hackathon at Lübeck University, https://jil.sh/2024/03/open-data-hackathon-wintersemester-2023-24/ 

Open Data Day 2024: 2. March 2024 to 8. March 2024:
https://open.nrw/open-data-day-2024
- Hackday Niederrhein 2024: 2. and 3. March 2024, city of Moers:
https://www.codeforniederrhein.de/hackday-2024/

Bavaria:
- A bavarian Open Data Day in Munich (04 May 2024) with > 100 participants was held (https://veranstaltungen.muenchen.de/rit/veranstaltungen/open-data-day-muenchen-2024/)
- A new bavarian ""Open Data Roundtable"" was established to connect providers and users of data and move forward together (https://oc.bydata.de/using)

Hamburg: 
There are currently no events planned for this year in Hamburg.

Baden-Württemberg: no
Berlin:
-Berlin has the conference Berlin Open Data Day which takes place every year : we have political speeches from the mayor of Berlin and the CDO and we do have best practice case studies from adminstration, the economy stakeholders or the civic tech community. we do also have ""AG Open Data"" as a working group for the Data Managers and Open Data Officers to talk about the newest challenges of the open data legislation or the open data strategy topics. we do have digital open data lunches as an exchange between the civic tech community to show their projects to the administration that should adopt theses projects in their workflow. The crashcourse Open Data takes place every year to teach the newest methods of data management and data publishing and visualisation. You can find all activities online: https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/veranstaltungen-1257989.php 
2023:
The CCOD ist planning specific formats for a better community engagement in late 2023. 
Other conferences are usually community driven, e.g.:
- https://oknrw.de/page/2/
- https://www.bertelsmann-stiftung.de/de/unsere-projekte/daten-fuer-die-gesellschaft/projektnachrichten/das-kommunale-open-data-netzwerktreffen-1
- https://www.datarun2023.de/ (BMDV) |

e.g. Federal Ministry für Economic Affairs and Climate Action:
Love Data Week (https://forschungsdaten.info/fdm-im-deutschsprachigen-raum/love-data-week/), E-Science-Tage (https://www.e-science-tage.de/de/startseite)

e.g. Federal Ministry of Food and Agriculture:
Yes, see: https://www.dlg.org/de/landwirtschaft/themen/technik/digitalisierung-arbeitswirtschaft-und-prozesstechnik/digitale-landwirtschaft; https://www.agrarheute.com/management/betriebsfuehrung/dlg-8-forderungen-fuer-digitale-landwirtschaft-542429;

Several NFDI meetings, next CORDI 2023 https://www.nfdi.de/cordi-2023-call-for-papers/.
Furthermore, the JKI is partner in FAIRagro, which is an important project with serval academic partners beyond public servants focusing on open data or data literacy. In this project a lot of workshops, hackathons, trainings and education courses, summer schools will be offered. 

Examples at regional level:
Berlin (State):
- Courses, e.g. Crashcourse Open Data  https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/einladung-24-april-crashkurs-open-data.pdf?ts=1682690247
- Conferences: Berlin Open Data Day: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019
- Hackdays: Open Data Berlin supports the Hackathons funded by the senate of Berlin with Open Data: https://www.urbaninnovation.berlin/urban-innovation-forum-2023

Thuringia: Activities to promote open data and open data literacy exist at example in the academia for research data (Thüringer Kompezenzzentrum Forschungsdaten: https://forschungsdaten-thueringen.de)."
PT1;PT1;yes;complement;20;20;"2025:
National Portal GovData, Link: https://www.govdata.de or
https://data.gov.de/
2024:
2024:
daten.berlin.de; https://www.govdata.de/
2023:
=HYPERLINK(""#"", ""https://www.govdata.de/"")"
PT2;PT2;n/a;complement;0;0;"2025:
Since 2024 we completely rebuilt the structure of the portal GovData. We switched to the CMS Typo3 for our editorial content and to Piveau (instead of CKAN) for data storage. Some of the portal's service functions were shifted to microservices.
2024:
Berlin: CKAN

GovData: In 2024, we completely rebuilt the structure of the portal. We switched to the CMS Typo3 for our editorial content and to Piveau (instead of CKAN) for data storage. Some of the portal's service functions were shifted to microservices."
PT3;PT3;yes;complement;10;10;"2025:
The metadata catalog published on GovData can be queried and processed automatically. A CKAN API is available for this purpose - and a Piveau API will be available after the switch to Piveau.

https://www.govdata.de/sparql-assistent (first sentence)

https://www.govdata.de/sparql-assistent (1st 
2024:
Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: The metadata catalog published on GovData can be queried and processed automatically. A CKAN API is available for this purpose - and a Piveau API will be available after the switch to Piveau."
PT4;PT4;yes;confirm;10;10;"GovData: The metadata catalog published on GovData can not only be searched via the function on the website, but of course also can be queryed and processed by machine. For this purpose, a SPARQL endpoint (https://www.govdata.de/sparql) is available.

See also: https://www.govdata.de/web/guest/sparql-assistent"
PT5;PT5;yes;complement;10;10;"2025:
GovData: A link is provided to the documentation on the CKAN API. After the switch to Piveau, the API will of course also be documented here. An example of the expected OpenAPI can be seen on the Open Data Portal of Bavaria: https://open.bydata.de/api/hub/search/
2024:
Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: A link is provided to the documentation on the CKAN API. After the switch to Piveau, the API will of course also be documented here. An example of the expected OpenAPI can be seen on the Open Data Portal of Bavaria: https://open.bydata.de/api/hub/search/"
PT6;PT6;yes;confirm;10;10;GovData: We have a special page on GovData that links to the SPARQL documentation, lets you run any SPARQL query, but also provides a dozen sample queries: https://www.govdata.de/web/guest/sparql-assistent
PT7;PT7;yes;complement;10;10;"2025:
GovData: The national data portal GovData does not offer a function for contributing your own datasets. Local data portals offer local communities the opportunity to integrate their data. This data is harvested in the national data portal.
2024:
GovData: The national data portal GovData does not offer a function for contributing your own datasets. Local data portals offer local communities the opportunity to integrate their data. This data is harvested in the national data portal.

Berlin offers an example. The “Open Data Handbook” of the Open Data Portal Berlin describes the provision and that local communities may contribute: https://berlinonline.github.io/open-data-handbuch/#wer-darf-im-datenportal-verffentlichen . Examples include the Allgemeiner Deutscher Fahrrad-Club, but also the Civic Tech and Open Data Community in the OK Labs of Code for Germany, Freifunk and Open Street Map."
PT8;PT8;yes;change;10;10;There is a central contact form available, Link: https://www.govdata.de/kontakt
PT9;PT9;no;confirm;0;10;
PT10;PT10;no;confirm;0;10;For a short explanation: a corresponding function w a s previously available, but it has now been discontinued due to low demand/use.
PT11;PT11;yes;change;10;10;"We have currently deactivated the blog. However, we have set up a teaser section on the homepage to prominently promote the latest open data topic. Additionally, the latest news from our social media channels is always displayed.

On the homepage (https://data.gov.de/) the social media teaser is displayed on the right under the search bar. The latest news from Germany (and some from Austria and Switzerland) can also be accessed via our channels:.https://social.bund.de/@opendata,  linkedin.com/company/govdata-de/ and https://bsky.app/profile/govdata.bsky.social."
PT12;PT12;no;confirm;0;10;
PT13;PT13;yes;change;10;10;"We often receive emails from users asking for specific data (either data that is available, but which they have not been able to locate, or data which is not). We do not have the impression that it is an impediment that they have to write us an email rather than click a button on our web page. We would also like to add that we also receive inquiries via our social media channels and answer them there.

A link to our feedback options regarding data needs is provided directly on the homepage https://data.gov.de/: The link - https://discourse.opencode.de/c/opendata/datenbedarfe/758 - refers to a special section in the German Open Data Forum for data requests. This section is open to everyone."
PT14;PT14;no;confirm;0;10;
PT15;PT15;yes;change;10;10;At FITKO (GovData), we have implemented an interfederal exchange with PM GovData. Here, the federal level exchanges information with the states. Geodata is also an integral part, which in turn has established exchange down to the municipal level. Through the Open Data Forum https://discourse.opencode.de/c/opendata/datenbedarfe/758, we have implemented a transparent path that can monitor data requests, queries, and successful provision.
PT16;PT16;yes;change;10;10;"GovData: The Competence Center Open Data established a public discussion forum at the end of 2024. The national data portal provides an entry point to this forum.

The forum can be accessed directly from the homepage www.govdata.de.

Another entry point for both websites: https://opendata.okfn.de/books/open-data-portale-ansprechpersonen"
PT17;PT17;yes;complement;10;10;"2025:
https://www.govdata.de/web/guest/showroom
2024:
2024:
Berlin: =HYPERLINK(""#""; ""https://daten.berlin.de/anwendungen"")
2023:
=HYPERLINK(""#"", ""https://www.govdata.de/web/guest/showroom"")"
PT18;PT18;yes;change;10;10;"Partially. While not all applications display the underlying source data (open data), some do. For example:

Application: https://denkmalkarte.oklabflensburg.de/
Data: https://www.govdata.de/suche/daten/denkmalliste-stadt-flensburgc5016
Use case: https://www.govdata.de/suche/anwendung/59

General adress: https://www.govdata.de/suche?type=showcase"
PT19;PT19;no;confirm;0;10;
PT20;PT20;no;confirm;0;10;
PT21;PT21;no;confirm;0;10;
PT22;PT22;yes;complement;20;20;"2025:
GovData: We offer a special filter function in our simple search and in the advanced search. In the results lists, the high-value data set is displayed in a high-value way (with a golden border and HVD category award).

Example: https://www.govdata.de/suche/daten/umweltuberwachungssstationenb7905
2024:
Berlin:we have the metadatum HVD to select for data publishers, but this did not get used, because the HVDs are getting published from the GENESis Database and the Geoportal

GovData: We offer a special filter function in our simple search and in the advanced search. In the results lists, the high-value data set is displayed in a high-value way (with a gold border and gold category award). Further measures to highlight high-value data sets are planned for the end of the year."
PT23;PT23;yes;complement;20;20;"2025:
GovData still use Matomo to monitor portal's traffic but there are additional more statistics. We harvest more portal' statistic, find some here https://www.govdata.de/web/guest/suchen/-/searchresult/q/Zugriffsstatistik/s/lastmodification_desc
2024:
2024:
Berlin: =HYPERLINK(""#""; ""https://odis-berlin.de/projekte/2024-01-daten-neuheiten ""); GovData still use Matomo to monitor portal's traffic but there are additional more statistics. We harvest more portal' statistic, find some here https://www.govdata.de/web/guest/suchen/-/searchresult/q/Zugriffsstatistik/s/lastmodification_desc
2023:
Matomo"
PT24;PT24;no;confirm;0;20;GovData: No
PT25;PT25;yes;complement;20;20;"2025:
We meet the users. We take part in network meetings with administration, science, the internet community and the open data community. There we actively participate in exchange rounds, bar camps, give lectures, workshops (e.g. at the re:publica), hackthons. Listening is important.
In addition, reactions in the social media channels as well as questions and feedback via the contact page of the portal are evaluated on an ongoing basis.
2024:
2024:
Berlin: surveys, an mapp inztelligence to track which data is downloaded the most
2023:
We meet the users. We take part in network meetings with administration, science, the internet community and the open data community. There we actively participate in exchange rounds, bar camps, give lectures, workshops (e.g. at the re:publica), hackthons. Listening is important.
In addition, reactions in the social media channels as well as questions and feedback via the contact page of the portal are evaluated on an ongoing basis."
PT26;PT26;yes;confirm;20;20;GovData:: We are in constant communication with users of the portal. The wishes of the communities are sometimes specifically requested in workshops and are incorporated into the planned roadmap for the portal. The functionalities are adapted based on the analysis (via Matomo) of the use of the portal.
PT27;PT27;yes;complement;20;20;"2025:
Govdata regularly presents at various events each year. This year, for example, at the Hackday in Moers (https://www.moers.de/rathaus-politik/daten-und-fakten/offene-daten-moers/hackday-niederrhein), where local government officials were present.
2024:
Berlin: we do schooling on publishing at the open data portal and using the portal at open data crashcourse"
PT28;PT28;yes;confirm;20;20;GovData: We use Matomo on an irregular basis to analyze the search terms on our portal. Incoming links from search engines are also analyzed for their search terms. This has enabled us to determine that there is an increased need for information to provide high-value datasets. However, a targeted analysis of searches for datasets will lead to misinterpretations. There are too many sub-data portals in Germany where users also search, but whose data we do not analyze.
PT29;PT29;yes;confirm;20;20;GovData: We use the analysis of the number of hits to scrutinize the structure of our pages. A data portal has many different user groups, so it is all the more difficult for everyone to find the right content quickly.
PT30;PT30;yes;complement;20;20;"2025:
For searching we offer autocomplete and alternative term suggestions for optimising the results. In addition, linguistic search methods are used to improve the result.
2024:
2024:
Berlin: we want to implement Large Langugae Models
2023:
For searching we offer autocomplete and alternative term suggestions for optimising the results. In addition, linguistic search methods are used to improve the result."
PT31;PT31;yes;complement;20;20;"2025:
GovData: yes. Every dataset is displayed on it's own page, sample: https://www.govdata.de/web/guest/suchen/-/details/zugriffsstatistik-daten-berlin-dec9fb3 The metadata is human readable und we provide a link to machine readable RDF file
2024:
2024:
GovData: yes. Every dataset is displayed on it's own page, sample: https://www.govdata.de/web/guest/suchen/-/details/zugriffsstatistik-daten-berlin-dec9fb3 The metadata is human readable und we provide a link to machine readable RDF file
2023:"
PT32;PT32;all public sector data providers;confirm;20;20;The data of all open data portals of the public sector is available in GovData. The data is provided via specialized or federal state portals. Where this is not possible, the regional portals will provide it directly.
PT33;PT33;yes, or all public sector data providers already publish data;confirm;20;20;N/A
